tempo_us,angulo_deg,motor_percent
537845,-82.39,20
538734,-82.29,20
539623,-82.19,20
540512,-82.10,20
541401,-81.99,20
542290,-81.87,20
543179,-81.75,20
544068,-81.65,20
544957,-81.58,20
545846,-81.48,20
546735,-81.37,20
547624,-81.27,20
548513,-81.15,20
549402,-81.05,20
550291,-80.92,20
551180,-80.80,20
552069,-80.69,20
552958,-80.59,20
553847,-80.48,20
554736,-80.37,20
555625,-80.26,20
556514,-80.16,20
557403,-80.09,20
558292,-79.99,20
559181,-79.90,20
560070,-79.79,20
560959,-79.68,20
561848,-79.59,20
562737,-79.51,20
563626,-79.42,20
564515,-79.31,20
565404,-79.20,20
566293,-79.11,20
567182,-79.02,20
568071,-78.91,20
568960,-78.79,20
569849,-78.69,20
570738,-78.62,20
571627,-78.52,20
572516,-78.41,20
573405,-78.32,20
574294,-78.24,20
575183,-78.17,20
576072,-78.06,20
576961,-77.97,20
577850,-77.89,20
578739,-77.82,20
579628,-77.73,20
580517,-77.64,20
581406,-77.53,20
582295,-77.44,20
583184,-77.36,20
584073,-77.27,20
584962,-77.17,20
585851,-77.06,20
586740,-76.98,20
587629,-76.91,20
588518,-76.82,20
589407,-76.74,20
590296,-76.66,20
591185,-76.59,20
592074,-76.51,20
592963,-76.43,20
593852,-76.34,20
594741,-76.27,20
595630,-76.20,20
596519,-76.12,20
597408,-76.03,20
598297,-75.93,20
599186,-75.84,20
600075,-75.78,20
600964,-75.69,20
601853,-75.60,20
602742,-75.52,20
603631,-75.45,20
604520,-75.38,20
605409,-75.28,20
606298,-75.21,20
607187,-75.13,20
608076,-75.06,20
608965,-74.99,20
609854,-74.92,20
610743,-74.83,20
611632,-74.75,20
612521,-74.69,20
613410,-74.62,20
614299,-74.54,20
615188,-74.46,20
616077,-74.41,20
616966,-74.35,20
617855,-74.27,20
618744,-74.19,20
619633,-74.13,20
620522,-74.08,20
621411,-74.03,20
622300,-73.96,20
623189,-73.88,20
624078,-73.81,20
624967,-73.75,20
625856,-73.70,20
626745,-73.63,20
627634,-73.57,20
628523,-73.52,20
629412,-73.48,20
630301,-73.41,20
631190,-73.34,20
632079,-73.28,20
632968,-73.23,20
633857,-73.17,20
634746,-73.09,20
635635,-73.02,20
636524,-72.94,20
637413,-72.88,20
638302,-72.82,20
639191,-72.76,20
640080,-72.69,20
640969,-72.65,20
641858,-72.60,20
642747,-72.56,20
643636,-72.49,20
644525,-72.43,20
645414,-72.40,20
646303,-72.37,20
647192,-72.32,20
648081,-72.26,20
648970,-72.21,20
649859,-72.18,20
650748,-72.14,20
651637,-72.09,20
652526,-72.04,20
653415,-71.98,20
654304,-71.94,20
655193,-71.90,20
656082,-71.86,20
656971,-71.80,20
657860,-71.74,20
658749,-71.70,20
659638,-71.68,20
660527,-71.64,20
661416,-71.58,20
662305,-71.54,20
663194,-71.52,20
664083,-71.48,20
664972,-71.44,20
665861,-71.40,20
666750,-71.38,20
667639,-71.35,20
668528,-71.30,20
669417,-71.27,20
670306,-71.24,20
671195,-71.22,20
672084,-71.19,20
672973,-71.15,20
673862,-71.11,20
674751,-71.07,20
675640,-71.05,20
676529,-71.04,20
677418,-71.01,20
678307,-70.97,20
679196,-70.95,20
680085,-70.93,20
680974,-70.91,20
681863,-70.87,20
682752,-70.85,20
683641,-70.85,20
684530,-70.83,20
685419,-70.79,20
686308,-70.76,20
687197,-70.74,20
688086,-70.74,20
688975,-70.74,20
689864,-70.71,20
690753,-70.67,20
691642,-70.67,20
692531,-70.68,20
693420,-70.68,20
694309,-70.65,20
695198,-70.63,20
696087,-70.63,20
696976,-70.64,20
697865,-70.64,20
698754,-70.62,20
699643,-70.61,20
700532,-70.62,20
701421,-70.62,20
702310,-70.61,20
